                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.3778,                0.72134,                 1.3102,                0.85265,                0.82182,                0.88338,                0.52726,                 1.3839,                0.66734,                 1.2959,               0.006601,               0.006601,               0.006601
                    106,                 1.3729,                0.71854,                  1.309,                0.85228,                0.82283,                 0.8844,                0.52827,                 1.3829,                0.66711,                  1.295,               0.006568,               0.006568,               0.006568
                    107,                 1.3684,                 0.7198,                 1.3091,                0.84771,                0.82844,                0.88555,                0.52967,                 1.3817,                 0.6671,                 1.2944,               0.006535,               0.006535,               0.006535
                    108,                  1.379,                0.72616,                 1.3078,                0.84983,                 0.8239,                0.88378,                0.53009,                 1.3805,                0.66691,                 1.2934,               0.006502,               0.006502,               0.006502
                    109,                 1.3693,                0.72142,                 1.3086,                0.84889,                0.82528,                0.88377,                0.52967,                 1.3794,                  0.667,                  1.292,               0.006469,               0.006469,               0.006469
                    110,                 1.3736,                0.71768,                 1.3047,                0.84801,                0.82493,                0.88365,                0.52938,                  1.379,                0.66685,                 1.2919,               0.006436,               0.006436,               0.006436
                    111,                 1.3704,                0.71647,                 1.3056,                0.84604,                0.82562,                0.88315,                0.53006,                 1.3782,                0.66664,                 1.2915,               0.006403,               0.006403,               0.006403
                    112,                 1.3562,                0.70851,                 1.2961,                0.84344,                0.82781,                0.88386,                0.53045,                 1.3771,                0.66616,                 1.2905,                0.00637,                0.00637,                0.00637
                    113,                 1.3676,                0.71453,                 1.3101,                0.84549,                0.82493,                0.88295,                0.53038,                 1.3766,                0.66548,                 1.2905,               0.006337,               0.006337,               0.006337
                    114,                 1.3623,                0.71426,                 1.3036,                0.84441,                0.82562,                0.88318,                0.53062,                 1.3767,                0.66518,                 1.2903,               0.006304,               0.006304,               0.006304
                    115,                 1.3662,                0.71752,                  1.309,                0.84452,                0.82631,                0.88363,                0.53132,                 1.3762,                 0.6647,                 1.2902,               0.006271,               0.006271,               0.006271
                    116,                 1.3607,                0.71094,                 1.3025,                0.84421,                0.82703,                0.88403,                0.53096,                 1.3761,                0.66477,                 1.2897,               0.006238,               0.006238,               0.006238
                    117,                 1.3638,                0.70922,                 1.3041,                0.84638,                0.82377,                0.88435,                0.53155,                 1.3757,                0.66431,                 1.2895,               0.006205,               0.006205,               0.006205
                    118,                 1.3598,                0.71401,                 1.2983,                0.84907,                0.82361,                0.88421,                0.53082,                 1.3749,                0.66363,                 1.2891,               0.006172,               0.006172,               0.006172
                    119,                 1.3574,                0.71283,                 1.3044,                0.85267,                0.81837,                0.88413,                0.53122,                 1.3741,                0.66391,                 1.2885,               0.006139,               0.006139,               0.006139
                    120,                  1.363,                 0.7115,                 1.3005,                 0.8528,                0.82019,                0.88413,                0.53113,                 1.3736,                0.66352,                  1.288,               0.006106,               0.006106,               0.006106
                    121,                 1.3486,                0.70428,                 1.2967,                0.85177,                0.82044,                0.88438,                0.53121,                 1.3728,                0.66323,                 1.2876,               0.006073,               0.006073,               0.006073
                    122,                  1.348,                0.70275,                 1.2827,                0.85115,                0.82148,                0.88442,                 0.5317,                 1.3726,                0.66359,                 1.2874,                0.00604,                0.00604,                0.00604
                    123,                 1.3475,                0.70946,                 1.2862,                 0.8499,                0.82115,                0.88429,                0.53162,                 1.3719,                0.66328,                  1.287,               0.006007,               0.006007,               0.006007
                    124,                  1.359,                0.71175,                   1.29,                0.84766,                0.82424,                0.88455,                0.53173,                  1.372,                0.66315,                  1.287,               0.005974,               0.005974,               0.005974
                    125,                 1.3505,                0.71134,                 1.2927,                0.84689,                 0.8232,                0.88434,                0.53181,                 1.3713,                0.66344,                 1.2867,               0.005941,               0.005941,               0.005941
                    126,                 1.3502,                0.70582,                 1.2853,                0.84718,                0.82122,                0.88476,                0.53207,                 1.3707,                 0.6633,                 1.2863,               0.005908,               0.005908,               0.005908
                    127,                 1.3479,                0.70528,                 1.2924,                0.84574,                0.82355,                0.88445,                0.53249,                   1.37,                0.66326,                 1.2859,               0.005875,               0.005875,               0.005875
                    128,                 1.3481,                0.70643,                 1.2874,                0.84555,                0.82424,                 0.8845,                0.53279,                 1.3697,                0.66298,                 1.2854,               0.005842,               0.005842,               0.005842
                    129,                 1.3519,                0.70888,                 1.2853,                0.84687,                0.82355,                0.88479,                0.53279,                 1.3688,                0.66286,                  1.285,               0.005809,               0.005809,               0.005809
                    130,                 1.3491,                0.71132,                 1.2911,                0.84725,                 0.8232,                0.88486,                0.53304,                 1.3687,                0.66236,                 1.2849,               0.005776,               0.005776,               0.005776
                    131,                 1.3501,                0.71025,                 1.2874,                0.84761,                0.82251,                0.88476,                0.53278,                 1.3686,                 0.6624,                 1.2846,               0.005743,               0.005743,               0.005743
                    132,                 1.3502,                0.70627,                 1.2867,                0.84786,                0.82217,                 0.8856,                0.53259,                 1.3683,                0.66208,                 1.2842,                0.00571,                0.00571,                0.00571
                    133,                  1.344,                0.70279,                 1.2868,                0.84754,                0.82217,                0.88542,                0.53239,                  1.368,                0.66196,                  1.284,               0.005677,               0.005677,               0.005677
